Code,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
emu1,0,0,0,0,0,0,0,0,0,0,0,0,0
bbwduc,0,0,0,0,0,0,0,0,0,0,0,0,0
fuwduc,0,0,0,0,0,0,0,0,0,0,0,0,0
bahgoo,0,0,0,0,0,0,0,0,0,0,0,0,0
empgoo,0,0,0,0,0,0,0,0,0,0,0,0,0
snogoo,0,14979,0,0,0,0,5,0,41,0,0,0,0
rosgoo,0,0,0,0,0,0,0,0,5,0,0,0,0
sxrgoo1,0,0,0,0,0,0,0,0,0,0,0,0,0
gragoo,0,0,0,0,0,0,0,0,4,0,0,0,0
swagoo1,0,0,0,0,0,0,0,0,0,0,1,0,0
x00776,0,0,0,0,0,0,0,0,1,0,0,0,0
gwfgoo,0,15,0,0,0,0,1,0,12,0,0,0,0
x00627,0,0,0,0,0,0,0,0,0,0,0,0,0
taibeg1,0,0,0,0,0,0,0,0,0,0,0,0,0
tunbeg1,0,0,0,0,0,0,0,0,0,0,0,0,0
pifgoo,0,0,0,0,1,0,1,0,0,0,0,0,0
brant,0,963,0,46,0,0,0,0,0,0,0,0,0
bargoo,0,0,0,0,2,0,0,0,0,0,0,0,0
cacgoo1,3,3184,0,0,0,0,0,0,52,0,0,0,0
x00692,0,0,0,0,0,0,0,0,0,0,0,0,0
x00694,0,0,0,0,0,0,0,0,0,0,0,0,0
x00414,0,0,0,0,0,0,0,0,0,0,0,0,0
cangoo,6260,16580,0,67,395,0,16144,0,81246,1259,841,304,0
swagoo3,0,0,0,0,0,0,0,0,0,0,0,0,0
x00415,0,0,0,0,0,0,0,0,0,0,0,0,0
x00758,0,0,0,0,0,0,0,0,0,0,0,0,0
x00759,0,4,0,0,0,0,0,0,0,0,0,0,0
x00197,0,0,0,0,0,0,0,0,0,0,0,0,0
x00417,0,0,0,0,0,0,0,0,0,0,0,0,0
y00765,0,0,0,0,0,0,0,0,0,0,0,0,0
rebgoo1,0,0,0,0,0,0,0,0,0,0,0,0,0
mutswa,0,23,0,0,2,0,0,0,2557,0,0,0,0
blkswa,0,0,0,0,0,0,0,0,0,0,0,0,0
truswa,22,4009,0,0,0,0,0,0,1897,0,0,0,0
x00832,0,0,0,0,0,0,0,0,0,0,0,0,0
tunswa,11,52,2,0,0,0,0,0,4975,0,0,0,0
whoswa,0,0,0,0,0,0,0,0,0,0,0,0,0
egygoo,0,0,0,0,0,0,0,0,0,0,0,0,0
rudshe,0,0,0,0,0,0,0,0,0,0,0,0,0
soashe1,0,0,0,0,0,0,0,0,0,0,0,0,0
comshe,0,0,0,0,0,0,0,0,0,0,0,0,0
musduc,0,0,0,0,0,0,0,0,3,0,0,0,0
rintea1,0,0,0,0,0,0,0,0,0,0,0,0,0
wooduc,6,707,0,1,3,0,5,0,78,0,9,0,0
manduc,0,0,0,0,0,0,0,0,0,0,0,0,0
x00833,0,0,0,0,0,0,0,0,0,0,0,0,0
baitea,0,0,0,0,0,0,0,0,0,0,0,0,0
gargan,0,0,0,0,0,0,0,0,0,0,0,0,0
buwtea,0,0,0,0,0,0,0,0,1,0,0,0,0
cintea,0,0,0,0,0,0,0,0,0,0,0,0,0
bwxtea1,0,0,0,0,0,0,0,0,0,0,0,0,0
norsho,0,615,0,2,0,0,2,0,82,0,7,0,0
x00629,0,0,0,0,0,0,0,0,0,0,0,0,0
x00630,0,0,0,0,0,0,0,0,0,0,0,0,0
gadwal,1,978,0,5,0,0,6,0,605,31,7,0,0
x00457,0,0,0,0,0,0,0,0,0,0,0,0,0
falduc,0,0,0,0,0,0,0,0,0,0,0,0,0
eurwig,0,273,0,0,15,0,6,0,0,3,0,0,0
amewig,0,18851,0,1,60,0,301,0,187,24,4,0,0
x00724,0,0,0,0,0,0,0,0,0,0,0,0,0
x00421,0,11,0,0,0,0,0,0,0,0,0,0,0
chiwig1,0,0,0,0,0,0,0,0,0,0,0,0,0
mallar3,4663,31034,1183,1473,374,0,5810,0,34896,286,9215,723,3
mdxmal1,0,0,0,0,0,0,0,0,0,0,0,0,0
x00205,0,0,0,0,0,0,0,0,0,0,0,0,0
x00612,0,0,0,0,0,0,0,0,0,0,0,0,0
x00420,2,0,0,0,0,0,0,0,0,0,0,0,0
x00611,0,0,0,0,0,0,0,0,1,0,0,0,0
ambduc,0,0,10,474,1307,0,5787,0,1829,671,4209,0,0
x00004,0,0,0,3,10,0,40,0,65,0,10,0,0
motduc,0,0,0,0,0,0,0,0,0,0,0,0,0
whcpin,0,0,0,0,0,0,0,0,0,0,0,0,0
norpin,0,11571,0,0,71,0,121,0,116,0,5,0,0
x00610,0,0,0,0,0,0,0,0,0,0,0,0,0
x00196,0,0,0,0,0,0,0,0,0,0,0,0,0
x00628,0,3,0,0,0,0,1,0,0,0,1,0,0
gnwtea,13,5880,0,8,41,0,122,0,50,12,11,1,0
x00673,0,0,0,0,0,0,0,0,0,0,0,0,0
x00763,0,0,0,0,0,0,0,0,0,0,0,0,0
x00762,0,0,0,0,0,0,0,0,0,0,0,0,0
x00646,0,0,0,0,0,0,0,0,0,0,0,0,0
x00725,0,0,0,0,0,0,0,0,0,0,0,0,0
martea1,0,0,0,0,0,0,0,0,0,0,0,0,0
recpoc,0,0,0,0,0,0,0,0,0,0,0,0,0
canvas,2,117,0,0,0,0,0,0,28769,0,5,0,0
redhea,140,202,0,0,0,0,7,0,9948,0,0,0,0
x00684,0,0,0,0,0,0,0,0,0,0,0,0,0
compoc,0,0,0,0,0,0,0,0,0,0,0,0,0
rinduc,24,1519,0,25,11,0,68,0,220,0,1,0,0
x00880,0,0,0,0,0,0,0,0,0,0,0,0,0
x00679,0,0,0,0,0,0,0,0,1,0,0,0,0
tufduc,0,1,0,0,53,0,2,0,0,0,0,0,0
x00652,0,0,0,0,0,0,0,0,0,0,0,0,0
gresca,0,5213,0,62,730,0,2714,0,16748,1400,95,0,0
x00680,0,0,0,0,0,0,0,0,0,0,0,0,0
x00779,0,0,0,0,0,0,0,0,0,0,0,0,0
x00654,0,0,0,0,0,0,0,0,0,0,0,0,0
lessca,26,1379,0,1,12,0,317,0,176,4,2,0,0
x00678,1,0,0,0,0,0,0,0,0,0,0,0,0
x00613,0,0,0,0,1,0,0,0,0,0,0,0,0
x00653,0,0,0,0,0,0,0,0,0,0,0,0,0
x00377,0,0,0,0,0,0,0,0,0,0,0,0,0
x00681,0,0,0,0,0,0,0,0,0,0,0,0,0
x00682,0,0,0,0,0,0,0,0,0,0,0,0,0
tdxsca1,0,0,0,0,0,0,0,0,0,0,0,0,0
steeid,0,0,0,0,0,0,0,0,0,0,0,0,0
labduc,0,0,0,0,0,0,0,0,0,0,0,0,0
speeid,0,0,0,0,0,0,0,0,0,0,0,0,0
kineid,0,0,0,0,1,0,0,0,2,0,0,0,0
comeid,0,0,0,1068,512,0,403,0,0,280,1253,0,0
x00665,0,0,0,0,0,0,0,0,0,0,0,0,0
harduc,4,851,0,53,5,0,178,0,23,0,12,0,0
sursco,0,15023,0,126,5,0,394,0,216,0,1,0,0
whwsco2,0,1271,0,74,14,0,149,0,5881,0,9,0,0
blksco1,0,0,0,0,0,0,0,0,0,0,0,0,0
blksco2,0,193,0,18,4,0,141,0,109,85,2,0,0
lotduc,0,421,0,940,263,0,539,0,33161,500,569,0,0
buffle,355,7074,0,235,76,0,1004,0,2334,0,62,3,0
comgol,1580,3200,6,270,264,0,1614,0,15634,166,2318,74,4
x00655,0,0,0,0,0,0,0,0,0,0,0,0,0
